pickup_datetime,passenger_count,pk_id,dp_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_region,dropoff_region,trip_dist_km
2011-11-04 06:00:00,1,334,9749,4.4769881,51.874601299999995,4.5307848,51.8791632,1,1,4.211125999999998
2011-11-04 06:00:00,1,2161,8245,4.467712000000001,51.897580600000005,4.5097325999999995,51.904282200000004,1,1,4.010206
2011-11-04 06:00:00,1,601,9749,4.5604994,51.8783709,4.5307848,51.8791632,1,1,3.3084759999999998
2011-11-04 06:00:02,1,8113,8245,4.4962477,51.9014431,4.5097325999999995,51.904282200000004,1,1,2.243753
2011-11-04 06:00:03,1,1020,8245,4.462393700000001,51.885744700000004,4.5097325999999995,51.904282200000004,1,1,4.7212950000000005
2011-11-04 06:00:03,1,4215,9305,4.5069893,51.9308132,4.4895301,51.9203565,0,0,2.004998
2011-11-04 06:00:03,1,1541,8245,4.498278400000001,51.8908436,4.5097325999999995,51.904282200000004,1,1,2.2493849999999997
2011-11-04 06:00:03,1,3870,9305,4.5087,51.927,4.4895301,51.9203565,0,0,2.1496800000000005
2011-11-04 06:00:04,1,7017,7388,4.545478500000001,51.8936339,4.5203755,51.894067,1,1,2.2113869999999998
2011-11-04 06:00:04,1,1494,8245,4.5129425,51.890496,4.5097325999999995,51.904282200000004,1,1,2.0710230000000003
2011-11-04 06:00:05,1,2634,9305,4.481984,51.9103192,4.4895301,51.9203565,0,0,2.3111390000000003
2011-11-04 06:00:05,1,1444,8245,4.4710699,51.8902427,4.5097325999999995,51.904282200000004,1,1,4.000813
2011-11-04 06:00:05,1,751,9749,4.5593,51.880964,4.5307848,51.8791632,1,1,2.962932
2011-11-04 06:00:07,1,2503,10087,4.4479901,51.906827500000006,4.4683117,51.925945399999996,0,0,3.5227060000000003
2011-11-04 06:00:08,1,8113,8245,4.4962477,51.9014431,4.5097325999999995,51.904282200000004,1,1,2.243753
2011-11-04 06:00:10,1,6577,8395,4.471074,51.966517200000006,4.4810792,51.9423961,0,0,3.68024
2011-11-04 06:00:10,1,2146,8245,4.4694026,51.897391799999994,4.5097325999999995,51.904282200000004,1,1,4.133344
